sample,frente,sex,time,weight,n_air,c_col,c_ap,o_ap,n_percent,c_percent,cn_ratio_uncalculated,cn_ratio,CI
VEN08,LV2,M,Tlam,0.730,11.4,-8.8,-2.7,-7.4,14.4,41.4,2.9,3.35,3.1
VEN09,LV2,,Epi,0.890,9.9,-7.7,-2.4,-6.8,15.5,43.6,2.8,3.28,3.0
VEN16,LV2,,Tlam,0.710,10.3,-7.3,-3.0,-7.6,15.5,44.0,2.8,3.31,3.5
VEN19B,LV2,,Tlam,0.910,8.9,-7.7,,,15.3,42.4,2.8,3.23,3.9
VEN23,LV2,M,Xol-Met,0.880,9.9,-7.6,-3.3,-9.6,14.2,40.3,2.8,3.32,3.7
VEN31,LV2,F,Tlam,0.870,10.0,-8.5,-3.2,-7.8,16.2,45.6,2.8,3.29,2.9
VEN34,LV2,,Xol-Met,0.700,7.7,-8.9,-5.1,-6.5,16.0,45.3,2.8,3.29,2.9
VEN35-1,LV2,M,Tlam,1.100,7.1,-9.2,-4.1,-7.0,10.9,29.8,2.7,3.18,3.4
VEN37,LV2,M,Tlam,0.850,7.8,-7.4,-2.6,-6.8,16.6,46.4,2.8,3.27,3.2
VEN75,LV2,,Xol-Met,1.270,10.1,-7.0,-2.0,-9.2,12.7,35.0,2.8,3.22,3.1
VEN77,LV2,M,Tlam,1.570,4.5,-20.3,-11.7,-5.1,10.1,28.2,2.8,3.26,3.9
VEN86,LV2,,Xol-Met,1.020,8.0,-9.1,-3.9,-9.5,16.8,48.1,2.9,3.35,2.7
VEN93,LV2,M,Tlam,2.330,9.0,-7.8,-3.3,-6.6,4.6,12.9,2.8,3.27,3.4
VEN148C,LV2,,Epi,1.270,11.4,-7.0,-1.7,-10.4,11.1,31.1,2.8,3.28,3.7
VEN154,LV2,F,Xol-Met,0.860,9.3,-8.1,-2.0,-7.8,16.7,46.9,2.8,3.28,3.0
VEN156A,LV2,,Xol-Met,1.240,8.9,-8.9,-2.7,-8.5,17.1,48.4,2.8,3.31,3.9
VEN161,LV2,,Tlam,0.970,6.6,-9.7,-2.4,-9.8,13.6,37.7,2.8,3.24,4.3
VEN29,LV3,F,Tlam,0.730,10.3,-8.1,-3.1,-9.9,15.4,43.1,2.8,3.28,4.5
