provenance,compound,burial_id,element,component,c_ap,c_col,n_air,o_ap,reference,doi
Conjunto Noroeste,,7,l. rib,bone bioapatite,-3.00,,,-8.10,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,13,r. rib,bone bioapatite,-5.00,,,-8.10,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,14,l. rib,bone bioapatite,-3.00,,,-8.10,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,26,r. rib,bone bioapatite,-4.40,,,-9.10,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,35,l. rib,bone bioapatite,-3.50,,,-9.00,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,42,r. rib,bone bioapatite,-3.20,,,-9.10,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,58,l. rib,bone bioapatite,-3.20,,,-9.50,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,65,l. rib,bone bioapatite,-3.50,,,-7.60,Nado (2017),https://keep.lib.asu.edu/items/155542
Conjunto Noroeste,,67,r. rib,bone bioapatite,-3.00,,,-9.50,Nado (2017),https://keep.lib.asu.edu/items/155542
Feathered Serpent Pyramid (FSP),,10A,l. rib,bone bioapatite,-3.20,,,-8.80,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,10C,r. rib,bone bioapatite,-3.80,,,-8.20,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,10D,l. rib,bone bioapatite,-3.10,,,-6.80,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,11A,l. rib,bone bioapatite,-3.10,,,-12.90,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,11B,r. rib,bone bioapatite,-4.00,,,-9.40,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,11C,rib,bone bioapatite,-5.90,,,-8.90,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,5D,l. rib,bone bioapatite,-3.50,,,-8.20,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,5F,l. rib,bone bioapatite,-3.20,,,-6.40,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,5I,r. rib,bone bioapatite,-1.90,,,-7.30,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,6A,r. rib,bone bioapatite,-3.20,,,-8.20,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,6B,r. rib,bone bioapatite,-2.30,,,-9.10,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
Feathered Serpent Pyramid (FSP),,6D,l. rib,bone bioapatite,-2.70,,,-9.90,Nado et al. (2017),https://doi.org/10.1007/s12520-016-0416-y
La Ventilla B,,16,l. rib,bone bioapatite,-3.80,,,-6.70,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,22,r. rib,bone bioapatite,-3.80,,,-5.90,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,24,r. rib,bone bioapatite,-2.90,,,-6.30,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,32,l. rib,bone bioapatite,-3.20,,,-7.10,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,47,l. rib,bone bioapatite,-2.80,,,-6.40,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,56,r. rib,bone bioapatite,-3.30,,,-9.00,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,59,l. rib,bone bioapatite,-3.00,,,-7.70,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,67,r. rib,bone bioapatite,-2.70,,,-8.50,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,78,r. rib,bone bioapatite,-2.70,,,-10.50,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,101,r. rib,bone bioapatite,-3.30,,,-9.80,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,107,l. rib,bone bioapatite,-2.30,,,-9.80,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,116,r. rib,bone bioapatite,-2.60,,,-8.50,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,XIV,l. rib,bone bioapatite,-2.90,,,-9.90,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,XVI,r. rib,bone bioapatite,-3.30,,,-6.90,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,XX,r. rib,bone bioapatite,-3.00,,,-9.80,Nado (2017),https://keep.lib.asu.edu/items/155542
La Ventilla B,,XXIII,r. rib,bone bioapatite,-3.20,,,-9.80,Nado (2017),https://keep.lib.asu.edu/items/155542
"La Ventilla, Frente 2",,VEN08,long bone,bone bioapatite,-2.7,,,-7.4,This study,https://keep.lib.asu.edu/items/155549
